IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
-2.49,15.99,9.27,10.23,20.13,29.68,76.61,0.05,0.04,0.06,0.06,0.77,-10.63,-25.39,1.01,0.5,55.08,-4.78,0.49,1.95,9.04,0.48,0.41,-0.89,1.01,0.61,0.02,0.59,P
13.19,16.84,12.07,9.32,7.96,38.97,35.17,0.07,0.07,0.06,0.07,1.05,-3.09,-12.59,0.43,0.56,14.37,-3.33,0.53,1.54,2.45,0.46,0.56,-0.77,1.53,0.35,0.01,0.37,P
4.66,13.23,28.98,16.82,18.82,41.6,74.06,0.06,0.07,0.06,0.07,0.69,-3.37,-3.22,0.61,0.54,-18.34,-1.37,0.43,0.29,-9.73,0.26,0.35,-0.58,1.5,0.72,0.02,0.55,P
6.69,16.03,14.98,17.7,18.26,51.74,44.45,0.04,0.03,0.06,0.05,0.93,-7.42,3.31,0.87,0.5,13.99,-106.77,0.39,-0.84,-1.12,0.42,0.58,-1.0,2.24,0.35,0.02,0.62,P
14.66,24.59,15.49,6.36,27.25,46.84,42.42,0.13,0.05,0.04,0.06,0.76,129.17,12.39,0.9,0.52,-29.09,-5.18,0.48,1.33,5.18,0.46,0.58,-0.87,0.63,0.33,0.02,0.63,P
13.68,15.19,14.33,17.79,31.1,37.87,38.93,0.04,0.16,0.04,0.08,1.17,-3.02,12.78,0.67,0.61,19.0,-4.86,0.55,1.57,2.52,0.42,0.58,-0.76,1.44,0.66,0.01,0.52,P
5.12,19.15,8.69,13.72,19.16,49.36,76.44,0.05,0.13,0.13,0.13,1.06,-2.51,2.87,2.33,0.61,6.21,-1.85,0.27,1.81,4.55,0.45,0.64,1.0,0.55,0.49,0.02,0.58,P
6.78,21.44,41.18,7.05,41.53,26.27,26.4,0.07,0.14,0.08,0.12,0.46,-13.01,18.27,1.26,0.41,9.37,-1.16,0.45,-3.13,5.98,0.41,0.56,-0.54,1.59,0.92,0.01,0.41,P
3.37,11.26,10.0,10.07,30.6,82.05,55.96,0.05,0.03,0.06,0.05,2.05,-4.06,141.93,0.42,0.58,11.1,10.39,0.53,-1.13,1.5,0.39,0.59,-1.17,1.76,0.41,0.02,0.62,P
5.7,33.89,8.14,9.4,15.21,86.73,47.97,0.07,0.05,0.05,0.08,0.71,-10.61,19.45,0.97,0.46,10.84,-3.82,0.48,1.12,14.01,0.56,0.58,-0.73,0.66,0.55,0.01,0.57,P
5.75,17.29,7.18,5.75,18.34,29.52,29.23,0.04,0.03,0.03,0.06,7.33,-13.97,4.12,1.02,0.64,11.67,5.06,0.55,1.52,-1.25,0.4,0.54,-1.58,0.93,0.56,0.02,0.64,P
5.62,27.57,19.02,9.61,23.16,37.58,34.18,0.06,0.07,0.03,0.04,0.54,-2.59,5.63,0.94,0.5,3.47,10.54,0.48,-1.56,7.19,0.4,0.42,-0.93,0.34,0.62,0.02,0.59,P
16.28,18.43,7.15,7.46,22.11,97.12,125.08,0.06,0.04,0.06,0.07,2.21,-2.54,14.24,0.79,0.59,30.02,-148.89,0.58,1.67,4.75,0.44,0.59,-0.77,1.04,0.21,0.01,0.52,P
5.97,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.04,0.04,0.05,0.07,0.01,42.96,0.84,0.04,63.2,-0.85,0.24,2.21,5.27,0.46,0.47,1.26,0.4,0.47,0.01,0.46,P
6.92,26.47,7.14,8.4,14.97,29.87,26.1,0.08,0.04,0.08,0.19,0.62,36.15,24.6,1.06,0.53,-319.94,-18.17,0.52,1.33,12.15,0.66,0.33,-0.8,1.12,0.22,0.02,0.62,P
3.35,14.6,6.58,9.84,42.66,99.72,90.58,0.04,0.06,0.04,0.03,0.93,-3.17,4.71,0.67,0.57,3.7,-50.07,0.56,-0.42,-5.11,0.4,0.5,-0.54,0.45,0.4,0.01,0.43,P
6.4,11.08,9.71,6.03,16.28,34.34,36.77,0.03,0.04,0.05,0.07,1.01,-2.79,4.29,1.04,0.49,4.37,9.62,0.36,-1.38,3.63,0.39,0.64,-1.32,0.32,0.31,0.01,0.63,P
3.28,17.83,7.74,9.14,33.72,48.39,38.95,0.04,0.05,0.05,0.11,0.59,11.43,-6.79,0.65,0.48,-7.43,-2.98,0.49,0.95,5.22,0.51,0.44,-0.63,1.37,-0.01,0.02,0.56,P
4.97,27.13,10.14,13.31,15.54,31.32,35.12,0.04,0.14,0.19,0.1,2.72,-2.48,-9.82,0.17,0.6,18868.5,14.82,0.53,-0.91,-1.94,0.33,0.45,-0.94,1.83,0.49,0.02,0.61,P
13.16,18.93,7.54,9.97,20.64,249.13,81.59,0.03,0.03,0.04,0.04,3.78,-1.04,2.95,1.16,0.5,1.88,1.64,0.56,-1.05,0.49,0.42,0.6,-0.4,1.69,0.07,0.01,0.61,P
4.89,8.32,8.99,12.57,16.48,34.31,36.97,0.04,0.07,0.05,0.04,1.27,-1.82,5.02,0.8,0.57,3.14,3.67,0.61,0.4,26.48,0.59,0.57,-0.25,0.89,0.49,0.02,0.61,P
2.57,20.34,7.12,11.44,24.87,50.24,64.91,0.03,0.05,0.04,0.06,0.83,-8.89,37.52,0.83,0.61,-21.09,-202.67,0.54,1.97,9.95,0.43,0.58,-1.02,1.6,0.63,0.02,0.63,P
2.85,12.04,6.2,9.68,9.66,30.94,36.87,0.03,0.2,0.03,0.06,1.94,-1.74,0.96,0.91,0.54,1.5,1.39,0.5,-1.92,2.81,0.4,0.87,-0.09,1.43,-0.15,0.01,0.58,P
5.99,9.63,7.3,8.58,10.12,16.69,19.68,0.05,0.13,0.05,0.07,0.97,-3.32,5.37,1.27,0.55,4.81,-3.01,0.45,-0.45,-3.5,0.4,0.49,0.06,0.65,0.25,0.01,0.62,P
14.48,17.94,7.53,10.34,16.18,32.03,34.33,0.04,0.04,0.05,0.09,6.16,-2.89,2.72,1.23,0.52,3.08,-18.28,0.56,-1.56,5.76,0.41,0.45,-0.95,1.45,0.43,0.01,0.5,P
2.74,11.41,8.13,6.64,12.38,51.19,39.99,0.04,0.07,0.06,0.05,2.39,-3.94,10.79,1.15,0.57,11.25,2.58,0.49,-1.43,0.58,0.47,0.45,-1.01,1.83,-0.11,0.01,0.02,P
15.95,22.78,8.83,12.88,25.02,43.73,59.22,0.05,0.04,0.04,0.08,0.69,-3.95,3.09,1.57,0.5,3.3,4.2,0.49,-0.96,-0.22,0.42,0.6,-0.97,0.35,0.12,0.01,0.63,P
14.14,25.62,7.32,7.6,30.52,169.84,369.13,0.05,0.05,0.04,0.05,1.77,-7.97,8.23,0.86,0.55,11.83,3.34,0.54,-0.58,-0.6,0.4,0.51,-0.85,1.09,0.27,0.02,0.63,P
15.25,22.29,11.96,11.69,14.65,21.64,28.66,0.06,0.04,0.06,0.05,0.82,-2.18,2.0,1.11,0.59,1.64,14.02,0.55,-0.03,46.04,0.83,0.65,0.31,0.91,0.51,0.02,0.62,P
6.03,45.46,7.98,9.2,11.35,23.73,34.72,0.04,0.04,0.08,0.04,7.23,-9.78,-19.56,0.82,0.64,-27.54,-10.97,0.49,1.15,9.02,0.49,0.56,-1.64,0.68,0.52,0.02,0.63,P
-0.22,20.83,6.48,8.16,10.28,32.56,38.49,0.06,0.05,0.07,0.05,1.1,-1.94,32.76,0.72,0.56,8.06,-2.94,0.49,-0.42,-4.01,0.33,0.55,-0.51,0.91,0.74,0.01,0.45,P
6.26,20.22,12.75,11.38,32.6,187.32,145.87,0.17,0.06,0.06,0.05,1.58,-5.44,2.4,1.12,0.51,3.25,6.06,0.51,-0.87,-1.2,0.37,0.41,-0.6,1.49,0.36,0.02,0.51,P
5.58,98.81,9.76,10.83,89.18,97.88,84.7,0.05,0.07,0.06,0.06,3.44,-1.32,2.17,0.91,0.49,1.53,3.26,0.31,-1.19,2.47,0.4,0.62,1.06,0.51,0.56,0.01,0.41,P
-0.37,14.42,6.46,8.95,19.27,84.96,89.09,0.06,0.06,0.05,0.05,11.26,-5.0,3.69,1.18,0.6,7.66,17.39,0.52,-0.86,0.46,0.34,0.59,-0.76,1.48,0.21,0.02,0.6,P
4.02,27.08,10.01,12.5,33.41,61.57,35.51,0.08,0.07,0.05,0.05,0.95,-3.5,110.35,1.07,0.62,9.02,-3.83,0.53,1.48,15.5,0.5,0.61,-1.15,1.37,0.84,0.01,0.58,P
6.53,21.03,8.99,9.12,23.86,66.35,73.94,0.05,0.04,0.04,0.06,0.55,-6.34,7.3,0.71,0.57,6.67,-10.18,0.55,-0.33,-3.33,0.36,0.52,-0.35,1.03,0.49,0.02,0.57,P
14.75,12.98,16.16,9.57,17.98,289.25,351.05,0.05,0.07,0.05,0.09,0.38,-33.94,4.86,1.37,0.51,5.45,-2.6,0.49,1.46,11.47,0.4,0.56,0.02,0.79,0.84,0.02,0.62,P
3.11,9.48,9.49,9.5,9.43,42.13,29.82,0.04,0.03,0.04,0.03,0.9,-0.96,0.94,1.48,0.54,1.01,1.17,0.74,-2.15,4.48,0.43,1.0,-0.98,0.99,-0.18,0.01,0.61,P
14.56,15.28,10.39,7.99,12.47,77.81,45.13,0.07,0.04,0.04,0.04,1.05,-5.25,9.33,0.77,0.55,10.34,2.09,0.56,-0.37,-4.6,0.34,0.5,-1.1,0.75,0.07,0.02,0.61,P
5.64,35.1,6.39,9.1,49.47,131.89,49.62,0.05,0.08,0.12,0.12,0.46,43.62,3.11,0.44,0.59,6.18,-1.82,0.43,-0.28,-5.73,0.39,0.46,-0.04,1.32,0.78,0.02,0.65,P
14.75,29.88,13.31,9.11,15.95,47.13,39.57,0.08,0.04,0.07,0.04,0.62,-32.11,-6.24,0.86,0.54,-9.19,-4.06,0.45,-0.85,1.64,0.27,0.58,-0.74,1.75,0.5,0.02,0.6,P
5.29,16.61,6.35,6.9,14.5,24.59,26.7,0.07,0.04,0.05,0.05,0.79,-2.17,10.06,0.63,0.59,6.04,25.52,0.58,-0.68,0.05,0.32,0.55,-1.18,0.97,0.69,0.01,0.65,P
14.63,11.4,8.64,7.94,23.33,29.39,47.16,0.05,0.11,0.04,0.04,0.58,1.1841250175959309e+17,12.26,0.74,0.56,-34.68,-44.65,0.52,1.49,2.85,0.48,0.62,-0.73,1.35,0.11,0.02,0.62,P
12.44,18.77,7.12,11.68,21.82,32.1,29.0,0.04,0.05,0.06,0.04,1.45,-2.21,3.07,1.39,0.53,2.56,3.94,0.5,-1.11,0.15,0.4,0.61,-0.96,0.36,0.23,0.01,0.61,P
5.68,13.3,9.02,7.86,28.73,30.24,29.67,0.11,0.08,0.03,0.04,0.98,-19.82,-9.01,0.72,0.55,-20.16,-18.05,0.52,-1.08,0.79,0.39,0.54,-0.69,0.48,0.41,0.02,0.63,P
5.98,16.93,17.97,9.18,58.12,117.07,49.27,0.21,0.08,0.08,0.08,0.9,-1.95,1.69,1.53,0.51,1.56,5.91,0.35,-0.17,-4.1,0.41,0.48,0.69,0.86,0.12,0.0,0.57,P
4.22,12.23,7.9,12.17,15.95,25.5,29.45,0.03,0.04,0.05,0.05,0.57,-1.8,5.24,1.09,0.52,3.79,-61.41,0.45,-1.08,3.62,0.31,0.7,-0.56,0.44,0.21,0.01,0.58,P
6.78,23.57,7.76,7.71,26.06,30.77,39.45,0.04,0.06,0.05,0.07,1.51,-7.73,4.34,0.94,0.58,5.13,-6.43,0.52,0.51,21.53,0.72,0.76,-0.26,0.81,0.2,0.02,0.56,P
14.26,40.94,6.01,6.03,13.86,343.56,313.64,0.03,0.05,0.04,0.05,0.99,-4.19,6.41,1.19,0.54,8.27,25.47,0.43,-0.27,-4.53,0.36,0.58,-0.5,0.39,0.11,0.01,0.63,P
5.23,11.89,10.8,9.02,14.44,92.98,95.16,0.05,0.08,0.05,0.05,4.35,10.06,4.4,1.05,0.53,14.64,-29.52,0.55,1.39,21.14,0.53,0.56,-1.09,0.86,0.7,0.02,0.58,P
6.5,24.25,8.87,8.09,30.2,83.15,76.34,0.04,0.05,0.25,0.07,1.0,-7.86,-15.05,0.32,0.51,-18.71,-8.27,0.51,1.59,-1.76,0.4,0.51,-0.51,0.65,0.27,0.02,0.64,P
-1.46,16.24,9.81,11.26,96.12,32.76,29.04,0.05,0.06,0.04,0.05,5.0,-5.56,-164.79,0.63,0.53,18.77,6.4,0.55,2.01,5.67,0.41,0.59,-1.42,0.97,0.54,0.02,0.58,P
3.08,36.13,6.19,9.56,14.65,26.78,41.74,0.04,0.09,0.03,0.04,2.18,-23.03,11.44,0.49,0.59,270.55,3.78,0.52,-1.1,1.84,0.38,0.55,-0.93,1.08,0.48,0.02,0.63,P
4.37,29.54,12.32,7.42,13.78,52.04,80.39,0.07,0.03,0.4,0.16,0.75,-4.62,-30.27,0.73,0.54,20.81,-7.81,0.5,1.39,1.47,0.45,0.53,-0.42,0.8,0.61,0.02,0.58,P
6.54,11.76,7.76,11.27,34.13,42.35,50.96,0.04,0.1,0.04,0.12,0.77,-5.99,3.54,1.38,0.58,6.9,-215.86,0.54,1.81,5.12,0.45,0.59,-0.57,0.81,0.18,0.01,0.63,P
6.25,10.36,10.75,9.72,115.02,22.47,23.82,0.04,0.04,0.04,0.07,0.76,-10.84,-17.55,1.05,0.56,-86.34,-2.44,0.51,1.39,1.27,0.44,0.54,-0.71,1.32,0.58,0.01,0.66,P
5.04,13.98,15.54,23.29,27.21,86.41,87.75,0.1,0.05,0.03,0.06,0.71,-1.6,2.85,0.82,0.46,2.33,1.96,0.45,-0.23,-4.48,0.3,0.55,-0.27,1.65,-0.13,0.01,0.54,P
5.24,259.26,57.25,333.33,259.26,466.67,466.67,0.08,0.07,0.06,0.1,0.14,70.66,3.81,1.43,0.44,3.99,-1.68,0.34,-0.93,-0.21,0.07,0.47,0.5,0.97,0.22,0.01,0.64,P
4.75,13.31,15.77,11.82,29.16,41.3,56.01,0.05,0.04,0.06,0.06,0.39,-13.02,15.44,0.76,0.54,9.4,56.06,0.5,1.18,10.6,0.49,0.51,-0.25,0.97,0.04,0.02,0.59,P
4.02,12.39,7.43,10.74,18.51,37.52,78.36,0.07,0.05,0.04,0.03,1.99,-22.31,3.1,1.17,0.53,8.28,-6.11,0.5,1.49,3.7,0.46,0.55,-0.47,1.05,0.46,0.01,0.48,P
-1.03,13.82,7.29,13.91,37.93,84.3,65.44,0.04,0.06,0.05,0.07,0.73,-45.81,9.06,1.19,0.52,9.31,-2.49,0.48,0.99,14.0,0.59,0.47,-0.37,0.62,0.77,0.02,0.65,P
4.5,14.91,6.87,8.68,76.76,92.35,77.35,0.05,0.09,0.04,0.03,0.85,2.31,2.1,0.85,0.5,-12.14,-11.72,0.5,1.27,8.47,0.47,0.53,-0.78,0.52,0.5,0.02,0.62,P
14.49,16.38,9.19,9.72,19.45,31.8,33.8,0.13,0.03,0.03,0.04,6.5,-2.12,2.77,1.55,0.6,2.95,2.24,0.58,-1.42,4.39,0.36,0.52,-1.3,1.34,0.36,0.01,0.6,P
6.11,10.76,7.73,9.21,16.32,43.03,27.28,0.05,0.06,0.05,0.04,0.78,-9.6,2.95,0.95,0.54,4.92,-13.45,0.56,1.58,6.59,0.46,0.57,-0.65,0.85,0.55,0.02,0.57,P
15.89,15.11,8.19,6.49,12.13,25.38,49.39,0.04,0.04,0.04,0.06,4.97,-3.98,1.48,0.95,0.58,3.15,2.92,0.51,1.25,4.74,0.45,0.59,-0.73,2.26,0.49,0.02,0.6,P
-0.3,21.72,12.91,10.87,8.4,29.8,33.06,0.04,0.08,0.09,0.1,0.52,-1.19,1.58,0.45,0.5,1.07,11.21,0.41,-1.35,3.26,0.4,0.59,0.85,0.73,0.5,0.01,0.63,P
4.05,14.31,10.81,17.41,29.56,38.46,53.48,0.04,0.04,0.07,0.06,0.34,-2.58,4.72,1.02,0.59,4.26,-13.72,0.51,1.24,7.63,0.52,0.69,-0.07,1.36,0.29,0.02,0.59,P
6.12,10.9,8.71,7.63,17.28,77.04,106.11,0.05,0.04,0.06,0.05,1.57,-2.14,-15.54,1.12,0.56,6.63,628.97,0.51,0.9,16.45,0.57,0.54,-1.26,0.72,0.55,0.01,0.63,P
5.46,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.04,0.04,0.13,3.4,13.25,0.66,0.44,14.53,-2.67,0.41,-0.41,-2.89,0.4,0.5,0.34,0.73,0.52,0.02,0.6,P
5.69,56.88,12.15,9.36,25.45,30.71,44.69,0.06,0.07,0.04,0.06,0.57,-2.92,3.92,0.91,0.54,3.92,-25.41,0.52,-0.77,-0.09,0.34,0.67,-0.28,0.84,0.43,0.02,0.62,P
5.91,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.05,0.04,0.04,0.08,0.67,2.41,0.75,0.11,3.22,-1.57,0.24,-1.23,1.87,0.4,0.9,1.49,0.37,-0.07,0.02,0.62,P
6.17,16.67,7.39,8.93,21.6,26.48,25.42,0.07,0.05,0.09,0.05,0.65,2.43,1.79,1.35,0.53,-15.94,30.83,0.54,1.42,5.47,0.44,0.48,-0.49,1.13,0.76,0.01,0.02,P
4.44,25.46,13.75,6.69,11.88,45.61,35.55,0.09,0.05,0.04,0.07,1.62,-3.57,20.09,0.96,0.57,9.28,-4.95,0.41,1.73,1.53,0.42,0.53,-0.65,0.33,0.57,0.02,0.61,P
5.06,24.0,11.78,7.63,42.66,27.62,24.91,0.05,0.05,0.07,0.08,0.97,-3.21,-284.03,0.3,0.6,8.56,7.56,0.55,1.18,3.52,0.45,0.54,-0.49,0.72,0.58,0.01,0.63,P
3.94,19.34,12.5,9.73,18.51,39.34,39.53,0.06,0.09,0.05,0.07,0.33,14.08,3.44,0.87,0.45,4.86,-2.01,0.54,-1.14,1.57,0.42,0.61,-0.51,1.15,0.65,0.01,0.36,P
7.07,77.16,8.05,7.59,12.86,32.83,35.04,0.06,0.04,0.05,0.05,0.75,-177.32,16.67,0.81,0.54,73.56,-17.89,0.56,1.4,2.77,0.42,0.55,-0.72,1.02,0.68,0.02,0.58,P
5.21,87.37,14.46,17.17,22.53,412.31,487.4,0.13,0.05,0.05,0.07,0.34,9.03,3.58,0.88,0.5,6.74,-4.94,0.46,1.09,6.21,0.55,0.45,-0.25,1.05,0.31,0.01,0.49,P
3.06,12.15,17.18,12.06,12.11,58.99,66.05,0.05,0.05,0.04,0.07,0.66,-2.34,8.58,0.75,0.65,3.85,-5.06,0.52,1.12,8.83,0.52,0.46,-0.16,1.19,0.26,0.01,0.61,P
4.25,8.88,8.07,20.73,27.51,46.46,44.59,0.04,0.05,0.04,0.04,1.66,-9.64,10.23,1.12,0.61,10.62,6.72,0.47,1.5,6.61,0.43,0.45,-1.51,0.94,0.67,0.02,0.63,P
6.39,16.12,6.44,11.01,36.47,65.38,102.17,0.04,0.05,0.1,0.06,1.57,-2.58,5.24,0.81,0.53,3.66,3.16,0.51,-0.69,-1.18,0.4,0.52,-0.7,1.45,0.38,0.01,0.62,P
4.74,21.1,8.17,9.88,28.5,26.47,26.1,0.04,0.04,0.09,0.15,1.07,-2.76,-46.22,0.61,0.61,8.68,8.64,0.54,-0.54,-1.37,0.36,0.52,-0.66,1.77,0.35,0.01,0.62,P
4.77,36.49,8.87,9.87,21.59,42.66,35.62,0.04,0.03,0.05,0.05,0.74,-2.62,6.0,0.97,0.53,4.08,7.01,0.49,-1.07,1.96,0.35,0.56,-0.86,0.36,0.5,0.01,0.62,P
4.74,38.71,9.96,8.16,32.21,216.24,238.21,0.07,0.06,0.06,0.04,0.72,-15.86,433.94,0.65,0.59,-54.66,9.62,0.54,-0.16,-5.87,0.34,0.44,-0.86,1.5,0.82,0.02,0.59,P
15.07,18.24,7.11,7.79,15.52,57.83,41.31,0.04,0.03,0.04,0.04,1.77,-4.16,2.72,1.25,0.57,3.74,2.09,0.53,-0.53,-3.26,0.34,0.45,-1.59,0.27,0.11,0.01,0.62,P
4.93,9.54,8.82,8.08,14.48,24.67,30.25,0.04,0.04,0.04,0.04,0.96,-1.37,2.45,1.3,0.57,1.95,1.65,0.62,-1.62,2.93,0.42,0.76,-0.27,1.24,0.18,0.01,0.62,P
6.0,14.06,8.24,9.31,13.16,55.1,77.73,0.04,0.07,0.04,0.05,2.57,-5.35,6.29,0.74,0.58,11.31,2.45,0.5,-1.24,0.52,0.42,0.45,-0.93,1.82,-0.13,0.01,0.02,P
5.18,22.97,8.09,8.65,12.32,39.45,53.14,0.04,0.05,0.04,0.07,7.63,-1.44,11.19,0.93,0.54,5.07,12.03,0.51,-1.01,2.67,0.34,0.54,-0.89,0.74,0.53,0.02,0.63,P
-0.96,13.98,8.37,14.46,15.15,49.25,67.52,0.05,0.08,0.05,0.07,0.38,-7.19,22.09,0.9,0.54,7.92,-2.6,0.5,1.18,19.89,0.59,0.6,-0.69,0.59,0.81,0.01,0.56,P
6.11,18.43,8.96,6.56,49.21,33.02,28.56,0.03,0.05,0.06,0.04,0.78,43.4,4.6,0.96,0.47,13.72,44.5,0.45,-0.68,-1.92,0.34,0.49,-0.9,0.51,0.52,0.02,0.61,P
5.97,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.05,0.06,0.08,0.88,2.2,1.32,0.14,3.32,-1.23,0.2,1.74,14.4,0.58,0.56,1.6,0.26,0.52,0.02,0.65,P
5.75,10.99,9.67,8.59,18.48,39.26,32.2,0.08,0.11,0.04,0.08,0.75,-5.88,4.72,0.73,0.55,7.45,-14.44,0.55,-0.05,-5.26,0.35,0.54,-0.44,1.04,0.29,0.01,0.62,P
5.47,57.68,9.25,22.24,10.76,72.03,46.33,0.05,0.07,0.05,0.05,0.72,-1.73,3.69,1.21,0.58,2.62,-8.4,0.49,-1.95,5.51,0.44,0.75,-0.36,1.26,0.15,0.01,0.52,P
-1.12,15.72,11.68,10.97,13.14,29.38,37.01,0.04,0.04,0.04,0.04,0.69,-18.31,-194.13,0.92,0.54,22.38,-4.0,0.5,1.04,5.82,0.47,0.55,-0.69,0.65,0.54,0.02,0.63,P
5.54,12.56,7.13,10.2,12.42,32.31,21.43,0.04,0.11,0.13,0.06,0.38,-3.52,2.37,0.25,0.61,2.66,-104.22,0.49,-0.36,-5.13,0.4,0.49,-0.15,1.37,0.25,0.02,0.61,P
5.37,11.46,9.51,8.29,14.35,53.17,73.52,0.05,0.06,0.05,0.09,1.77,-22.98,217.19,0.41,0.6,214.79,4.22,0.52,-0.12,-4.78,0.37,0.48,-0.59,0.86,0.37,0.02,0.62,P
5.58,13.42,10.11,10.6,27.46,35.33,57.62,0.04,0.04,0.07,0.04,0.7,-2.43,11.2,0.78,0.54,4.52,3.33,0.52,-2.26,7.91,0.42,0.58,-0.51,1.79,0.2,0.01,0.5,P
-0.99,25.44,6.23,12.32,29.19,73.98,90.42,0.03,0.06,0.06,0.05,0.58,218.8,4.67,0.91,0.6,12.17,-8.98,0.55,-1.02,1.89,0.4,0.52,-0.32,1.14,0.61,0.02,0.02,P
